book_name,author_name,book_mrp,discounted_price,quantity,book_details,genre,book_image,is_deleted
"The Hobbit","J.R.R. Tolkien",1910,1580,22,"A reluctant hobbit sets out on an unexpected adventure.","Fantasy","https://covers.openlibrary.org/b/isbn/9780345339683-L.jpg",false
"Gone Girl","Gillian Flynn",2070,1660,18,"A woman mysteriously disappears on her wedding anniversary.","Thriller","https://covers.openlibrary.org/b/isbn/9780307588371-L.jpg",false
"The Silent Patient","Alex Michaelides",2240,1830,15,"A famous painter stops speaking after shooting her husband.","Mystery","https://covers.openlibrary.org/b/isbn/9781250301697-L.jpg",false
"Becoming","Michelle Obama",2740,2320,20,"The memoir of the former First Lady of the United States.","Biography","https://covers.openlibrary.org/b/isbn/9781524763138-L.jpg",false
"Sapiens","Yuval Noah Harari",2490,2070,16,"A brief history of humankind.","History","https://covers.openlibrary.org/b/isbn/9780062316097-L.jpg",false
"The Alchemist","Paulo Coelho",1660,1330,25,"A shepherd boy's journey to discover his personal legend.","Fiction","https://covers.openlibrary.org/b/isbn/9780061122415-L.jpg",false
"Educated","Tara Westover",2320,1910,17,"A memoir of a woman who didn't attend school until age 17.","Memoir","https://covers.openlibrary.org/b/isbn/9780399590504-L.jpg",false
"The Martian","Andy Weir",1990,1660,19,"An astronaut struggles to survive after being left behind on Mars.","Science Fiction","https://covers.openlibrary.org/b/isbn/9780553418026-L.jpg",false
"The Night Circus","Erin Morgenstern",2160,1740,14,"A mysterious circus that only appears at night.","Fantasy","https://covers.openlibrary.org/b/isbn/9780307744432-L.jpg",false
"Where the Crawdads Sing","Delia Owens",2240,1830,21,"A coming-of-age story set in the marshes of North Carolina.","Fiction","https://covers.openlibrary.org/b/isbn/9780735219090-L.jpg",false
"Atomic Habits","James Clear",2070,1660,23,"Tiny changes, remarkable results.","Self-Help","https://covers.openlibrary.org/b/isbn/9780735211292-L.jpg",false
"The Great Gatsby","F. Scott Fitzgerald",1580,1240,26,"A classic tale of wealth, love, and tragedy in the Jazz Age.","Classic","https://covers.openlibrary.org/b/isbn/9780743273565-L.jpg",false
"Dune","Frank Herbert",2240,1830,20,"A science fiction masterpiece set on the desert planet Arrakis.","Science Fiction","https://covers.openlibrary.org/b/isbn/9780441172719-L.jpg",false
"The Girl with the Dragon Tattoo","Stieg Larsson",2490,2070,15,"A journalist and a hacker investigate a wealthy family.","Mystery","https://covers.openlibrary.org/b/isbn/9780307474544-L.jpg",false
"Thinking, Fast and Slow","Daniel Kahneman",2320,1910,18,"The two systems that drive the way we think.","Psychology","https://covers.openlibrary.org/b/isbn/9780374533557-L.jpg",false
"The Hunger Games","Suzanne Collins",1830,1490,24,"A dystopian novel about annual televised death matches.","Young Adult","https://covers.openlibrary.org/b/isbn/9780439023528-L.jpg",false
"The Da Vinci Code","Dan Brown",1990,1660,22,"A murder in the Louvre reveals a sinister plot.","Thriller","https://covers.openlibrary.org/b/isbn/9780307474278-L.jpg",false
"To Kill a Mockingbird","Harper Lee",1740,1410,27,"A classic coming-of-age story in the South during the 1930s.","Classic","https://covers.openlibrary.org/b/isbn/9780061120084-L.jpg",false
"The Road","Cormac Mccartshy",1910,1580,19,"A father and son journey through post-apocalyptic America.","Fiction","https://covers.openlibrary.org/b/isbn/9780307387899-L.jpg",false
"Pride and Prejudice","Jane Austen",1660,1330,25,"A classic romance novel exploring societal expectations.","Classic","https://covers.openlibrary.org/b/isbn/9780141439518-L.jpg",false